No,Deskripsi,Bentuk_pemanfaatan,Peruntukan,Pusat_kota,Visibilitas,Bangunan,Luas,Desa,Kecamatan,Jenis Hak,Jalan,Pengelola,Luas,Bujur,Lintang,Sumber_data,Longitude,Latitude,Bujur alun,Lintang alun,Jarak pusat kota,Jarak jalan utama
98,,Pakai,Sawah,Pinggir,Kurang,Tidak,18110,SUKOSARI,KARTOHARJO,PAKAI,,Sukosari,18110,31977,36711,,111.53295,7.61185,112,8,2615,
99,,Pakai,Sawah,Pinggir,Kurang,Tidak,17770,SUKOSARI,KARTOHARJO,PAKAI,,Sukosari,17770,32019,36721,,111.53365,7.61201666666667,112,8,2655,
88,,Pakai,Taman,Pusat,Strategis,Kosong,17033,KEJURON,TAMAN,PAKAI,Jl. Kapten Saputro,Kejuron,17033,31608,38061,,111.5268,7.63435,112,8,1248,
28,,Sewa,Perumahan,Sedang,Strategis,Sedang,16590,KELUN,KARTOHARJO,HGB,JL SRI SEDONO DAN JALAN SRI SEDANI,PERUMAHAN,16590,33315,36214,Sewa Kota,111.55525,7.60356666666667,112,8,5100,
28,,Sewa,Perumahan,Sedang,Strategis,Sedang,16590,KELUN,KARTOHARJO,HGB,JL SRI SEDONO DAN JALAN SRI SEDANI,PERUMAHAN,16590,33315,36214,Sewa Kota,111.55525,7.60356666666667,112,8,5100,
11,,Sewa,Pasar,Pusat,Strategis,Bagus,15710,KEJURON,TAMAN,HPL,,Dinas Pasar,15710,31278,37882,Sewa - Kota,111.5213,7.63136666666667,112,8,557,
11,,Sewa,Pasar,Pusat,Strategis,Bagus,15710,KEJURON,TAMAN,HPL,,Dinas Pasar,15710,31278,37882,Sewa - Kota,111.5213,7.63136666666667,112,8,557,
43,,Sewa,Pasar,Pusat,Strategis,Bagus,14610,ORO ORO OMBO,KARTOHARJO,PAKAI,Jl. Let. Jend. S. Parman,Kecamatan Kartoharjo,14610,32042,37347,,111.534033333333,7.62245,112,8,2037,
43,,Sewa,Pasar,Pusat,Strategis,Bagus,14610,ORO ORO OMBO,KARTOHARJO,PAKAI,Jl. Let. Jend. S. Parman,Kecamatan Kartoharjo,14610,32042,37347,,111.534033333333,7.62245,112,8,2037,
100,,Pakai,Sawah,Pinggir,Kurang,Tidak,13155,ORO ORO OMBO,KARTOHARJO,PAKAI,Blok Utara Pertamina,Oro-oro Ombo,13155,31704,36745,,111.5284,7.61241666666667,112,8,2251,
54,,Pakai,Perumahan,Pinggir,Sedang,Sedang,9460,REJOMULYO,KARTOHARJO,PAKAI,,Rejomulyo,9460,32448,37324,,111.5408,7.62206666666667,112,8,2758,
54,,Pakai,Perumahan,Pinggir,Sedang,Sedang,9460,REJOMULYO,KARTOHARJO,PAKAI,,Rejomulyo,9460,32448,37324,,111.5408,7.62206666666667,112,8,2758,
96,,Pakai,Perumahan,Pusat,Sedang,Sedang,8985,ORO ORO OMBO,KARTOHARJO,PAKAI,Blok Selatan Pertamina,Oro-oro Ombo,8985,31631,36915,,111.527183333333,7.61525,112,8,1917,
96,,Pakai,Perumahan,Pusat,Sedang,Sedang,8985,ORO ORO OMBO,KARTOHARJO,PAKAI,Blok Selatan Pertamina,Oro-oro Ombo,8985,31631,36915,,111.527183333333,7.61525,112,8,1917,
55,,Pakai,Perumahan,Pinggir,Sedang,Sedang,8740,REJOMULYO,KARTOHARJO,PAKAI,,Rejomulyo,8740,32566,37368,,111.542766666667,7.6228,112,8,2946,
55,,Pakai,Perumahan,Pinggir,Sedang,Sedang,8740,REJOMULYO,KARTOHARJO,PAKAI,,Rejomulyo,8740,32566,37368,,111.542766666667,7.6228,112,8,2946,
101,,Pakai,Perumahan,Pusat,Sedang,Sedang,7165,ORO ORO OMBO,KARTOHARJO,PAKAI,,Oro-oro Ombo,7165,31662,36919,,111.5277,7.61531666666667,112,8,1946,
101,,Pakai,Perumahan,Pusat,Sedang,Sedang,7165,ORO ORO OMBO,KARTOHARJO,PAKAI,,Oro-oro Ombo,7165,31662,36919,,111.5277,7.61531666666667,112,8,1946,
95,,Pakai,Sawah,Pinggir,Kurang,Tidak,6650,BANJAREJO,TAMAN,PAKAI,,Banjarejo,6650,32281,39342,,111.538016666667,7.6557,112,8,3772,
66,,Pakai,Sawah,Pinggir,Kurang,Tidak,6635,KEJURON,TAMAN,PAKAI,Blok Sawah Koci,Kejuron,6635,30042,38418,,111.5007,7.6403,112,8,2169,
95,,Pakai,Sawah,Pinggir,Kurang,Tidak,6390,BANJAREJO,TAMAN,PAKAI,,Banjarejo,6390,32315,39468,,111.538583333333,7.6578,112,8,3995,
62,,Pakai,Sawah,Pinggir,Kurang,Tidak,6271,NGEGONG,MANGUHARJO,PAKAI,Blok Sawah,Manguharjo,6271,31041,36302,,111.51735,7.60503333333333,112,8,2675,
69,,Pakai,Sawah,Pinggir,Kurang,Tidak,6065,KEJURON,TAMAN,PAKAI,Blok Sawah Koci,Mojorejo,6065,29877,38175,,111.49795,7.63625,112,8,2225,
22,,Pakai,Pasar,Pusat,Strategis,Sedang,5872,ORO ORO OMBO,KARTOHARJO,PAKAI,Jl. Diponegoro,Dinas Pasar,5872,32095,37423,,111.534916666667,7.62371666666667,112,8,2084,
